Location,BHK,Area_sqft,Price_Lakhs,Age_Years,Parking,Status
Hinjewadi - Pune,3,1594,134.45,6,No,Available
Banjara Hills - Hyderabad,2,1127,143.64,20,No,Sold
Indiranagar - Bangalore,4,2525,380.93,5,Yes,Available
Andheri - Mumbai,2,1035,244.76,4,Yes,Sold
Navi Mumbai - Mumbai,2,962,112.88,10,No,Sold
Vasant Kunj - Delhi,4,2347,414.43,12,No,Sold
Kondapur - Hyderabad,1,495,42.08,3,No,Available
Kothrud - Pune,1,541,58.19,1,Yes,Available
Jubilee Hills - Hyderabad,3,1650,206.2,7,No,Available
Anna Nagar - Chennai,2,945,135.67,0,Yes,Sold
OMR - Chennai,3,1617,115.68,10,Yes,Available
Gurgaon - Delhi,2,1021,123.37,20,Yes,Available
Kothrud - Pune,2,1036,88.58,6,Yes,Sold
HSR Layout - Bangalore,3,1587,206.8,1,Yes,Available
Porur - Chennai,3,1597,123.6,8,Yes,Available
Wakad - Pune,3,1656,133.04,12,No,Available
Rohini - Delhi,3,1620,125.19,12,No,Sold
Porur - Chennai,3,1589,128.92,1,Yes,Sold
Velachery - Chennai,1,466,42.28,3,Yes,Sold
Indiranagar - Bangalore,3,1530,235.69,2,Yes,Available
Jubilee Hills - Hyderabad,2,1001,144.46,2,No,Sold
Indiranagar - Bangalore,4,2426,413.88,3,Yes,Sold
Rohini - Delhi,2,1138,84.72,4,No,Sold
Miyapur - Hyderabad,4,1856,114.03,5,Yes,Available
Gurgaon - Delhi,2,1058,120.69,7,Yes,Available
Borivali - Mumbai,4,2570,445.17,3,Yes,Available
HSR Layout - Bangalore,3,1526,160.9,2,Yes,Sold
Gachibowli - Hyderabad,2,830,67.41,3,Yes,Available
Gachibowli - Hyderabad,2,1068,77.58,15,Yes,Available
OMR - Chennai,2,1054,62.06,10,Yes,Available
Kukatpally - Hyderabad,2,1062,60.72,4,Yes,Available
Porur - Chennai,3,1867,136.98,12,Yes,Sold
Thane - Mumbai,3,1737,225.23,0,No,Available
Marathahalli - Bangalore,2,1042,71.78,4,No,Available
Miyapur - Hyderabad,2,1027,53.21,7,Yes,Sold
Hadapsar - Pune,2,968,57.3,6,No,Sold
Hitech City - Hyderabad,2,1088,107.39,4,Yes,Available
Navi Mumbai - Mumbai,3,1676,197.14,0,No,Available
Gachibowli - Hyderabad,2,1152,89.12,7,Yes,Sold
Tambaram - Chennai,1,607,35.15,2,No,Sold
Indiranagar - Bangalore,2,1022,133.63,5,No,Sold
Wakad - Pune,1,553,37.62,10,Yes,Sold
Gurgaon - Delhi,3,1627,197.69,10,No,Available
HSR Layout - Bangalore,4,2556,351.44,1,No,Available
Kukatpally - Hyderabad,3,1713,98.47,3,No,Available
Sarjapur - Bangalore,2,1060,71.47,12,Yes,Available
Marathahalli - Bangalore,3,1624,117.4,6,Yes,Sold
Gurgaon - Delhi,1,603,53.2,12,No,Sold
Porur - Chennai,3,1651,95.98,10,No,Available
HSR Layout - Bangalore,2,989,111.43,10,Yes,Sold
Gachibowli - Hyderabad,2,1124,95.91,3,No,Available
Jubilee Hills - Hyderabad,3,1894,320.95,5,Yes,Sold
Andheri - Mumbai,3,1410,345.68,2,Yes,Available
Gachibowli - Hyderabad,4,2501,224.55,7,Yes,Sold
Kukatpally - Hyderabad,3,1850,106.25,2,Yes,Available
Electronic City - Bangalore,2,1026,89.16,1,Yes,Available
Gachibowli - Hyderabad,2,940,67.48,12,Yes,Sold
Dwarka - Delhi,2,1008,80.36,6,No,Available
Banjara Hills - Hyderabad,3,1777,240.6,6,Yes,Sold
Kukatpally - Hyderabad,2,1003,67.56,3,Yes,Sold
Kondapur - Hyderabad,4,2578,287.56,1,Yes,Sold
Hitech City - Hyderabad,1,587,50.48,1,Yes,Available
Hitech City - Hyderabad,3,1696,173.53,1,Yes,Available
Banjara Hills - Hyderabad,1,519,58.71,7,Yes,Available
Anna Nagar - Chennai,1,545,73.83,2,No,Sold
Kothrud - Pune,3,1891,171.96,3,Yes,Available
Hebbal - Bangalore,1,539,40.81,4,Yes,Available
Kondapur - Hyderabad,3,1559,139.96,1,No,Sold
Powai - Mumbai,3,1844,424.6,1,Yes,Sold
Andheri - Mumbai,2,1022,192.09,15,No,Available
Hinjewadi - Pune,3,1556,126.1,4,Yes,Available
Kondapur - Hyderabad,2,1171,102.45,7,No,Sold
Powai - Mumbai,2,967,291.4,5,Yes,Available
Hadapsar - Pune,4,2245,158.97,15,No,Available
Gachibowli - Hyderabad,3,1436,108.34,8,Yes,Available
Vasant Kunj - Delhi,2,1068,180.71,1,Yes,Available
Indiranagar - Bangalore,2,1087,156.25,7,Yes,Sold
Hitech City - Hyderabad,4,2053,190.47,5,Yes,Available
HSR Layout - Bangalore,4,2591,260.87,4,Yes,Sold
Dwarka - Delhi,3,1640,130.07,8,No,Sold
Hadapsar - Pune,4,2247,195.59,1,Yes,Sold
Tambaram - Chennai,3,1617,75.1,8,No,Available
Indiranagar - Bangalore,4,2343,425.38,2,No,Sold
Dwarka - Delhi,3,1526,149.8,5,Yes,Available
HSR Layout - Bangalore,3,1608,209.96,0,No,Available
Velachery - Chennai,2,1008,87.8,4,Yes,Available
Kondapur - Hyderabad,3,1514,134.54,1,No,Sold
Anna Nagar - Chennai,4,2407,290.32,10,Yes,Sold
Kondapur - Hyderabad,2,1082,72.31,12,No,Sold
Marathahalli - Bangalore,4,2652,204.46,4,Yes,Sold
Jubilee Hills - Hyderabad,2,943,141.08,15,No,Available
Anna Nagar - Chennai,3,1831,196.62,5,No,Available
Miyapur - Hyderabad,1,520,25.89,7,Yes,Sold
Borivali - Mumbai,3,1705,318.86,7,Yes,Sold
Borivali - Mumbai,3,1548,248.89,8,No,Available
Andheri - Mumbai,2,1084,286.53,5,Yes,Available
Porur - Chennai,2,1091,71.24,6,Yes,Available
Banjara Hills - Hyderabad,4,2382,461.0,1,No,Sold
Gachibowli - Hyderabad,3,1501,127.68,2,Yes,Sold
Banjara Hills - Hyderabad,3,1495,273.85,5,Yes,Available
Hitech City - Hyderabad,2,1054,97.73,5,Yes,Available
Kondapur - Hyderabad,2,1096,82.53,10,No,Sold
Indiranagar - Bangalore,3,1589,232.87,4,No,Sold
Kondapur - Hyderabad,3,1694,153.85,4,No,Available
Borivali - Mumbai,1,607,124.07,0,Yes,Sold
Noida Sector 62 - Delhi,3,1503,138.6,7,Yes,Sold
Madhapur - Hyderabad,4,2378,222.65,0,No,Sold
Banjara Hills - Hyderabad,3,1571,225.92,10,Yes,Sold
Bandra - Mumbai,2,902,308.75,6,Yes,Sold
Hebbal - Bangalore,2,1016,71.16,20,No,Available
Banjara Hills - Hyderabad,3,1673,305.06,5,Yes,Available
Kondapur - Hyderabad,2,1112,84.59,5,Yes,Available
Kothrud - Pune,2,989,103.64,7,No,Available
Indiranagar - Bangalore,2,953,155.84,4,No,Available
Hadapsar - Pune,1,515,35.39,6,No,Sold
Thane - Mumbai,2,1135,140.3,12,Yes,Available
Madhapur - Hyderabad,3,1547,134.79,2,Yes,Available
Hitech City - Hyderabad,3,1439,162.67,1,Yes,Available
Whitefield - Bangalore,2,824,62.92,0,No,Sold
Gurgaon - Delhi,2,1035,168.05,5,Yes,Sold
Bandra - Mumbai,2,1122,555.9,6,Yes,Available
Gurgaon - Delhi,2,977,128.66,20,Yes,Available
Kondapur - Hyderabad,2,1113,91.5,15,No,Sold
Hadapsar - Pune,2,1007,50.29,12,No,Available
Sarjapur - Bangalore,3,1594,99.56,4,No,Available
Anna Nagar - Chennai,1,480,47.11,2,No,Sold
Banjara Hills - Hyderabad,2,1063,183.99,3,Yes,Available
Whitefield - Bangalore,2,1095,86.58,12,No,Available
Kondapur - Hyderabad,2,1064,79.51,6,No,Available
Kothrud - Pune,2,929,81.79,10,Yes,Sold
OMR - Chennai,2,1038,84.2,10,Yes,Available
Powai - Mumbai,2,1106,294.45,10,Yes,Available
Vasant Kunj - Delhi,2,1017,176.81,8,Yes,Available
Vasant Kunj - Delhi,1,464,74.46,0,Yes,Available
Rohini - Delhi,2,1026,94.6,8,Yes,Available
Hebbal - Bangalore,2,1015,95.35,4,No,Sold
Thane - Mumbai,2,988,133.06,5,Yes,Sold
Miyapur - Hyderabad,3,1427,90.04,8,No,Available
Hitech City - Hyderabad,2,1015,87.6,20,No,Sold
Hinjewadi - Pune,2,1045,86.09,10,No,Available
Jubilee Hills - Hyderabad,3,1425,214.74,10,Yes,Available
Hinjewadi - Pune,2,1019,62.53,8,Yes,Available
Banjara Hills - Hyderabad,3,1686,263.19,0,No,Available
Gurgaon - Delhi,3,1600,242.2,4,Yes,Sold
Marathahalli - Bangalore,1,489,33.97,5,Yes,Available
Hitech City - Hyderabad,1,527,38.24,20,No,Sold
Tambaram - Chennai,2,1019,69.93,4,Yes,Sold
Kondapur - Hyderabad,2,1073,93.84,2,Yes,Sold
Gachibowli - Hyderabad,3,1694,161.4,3,Yes,Sold
Dwarka - Delhi,1,465,46.13,1,No,Sold
Vasant Kunj - Delhi,3,1490,243.41,8,Yes,Available
Whitefield - Bangalore,3,1646,158.78,5,Yes,Available
Sarjapur - Bangalore,3,1513,108.9,8,Yes,Sold
Vasant Kunj - Delhi,3,1749,322.93,6,Yes,Available
Kothrud - Pune,3,1867,207.73,6,Yes,Available
Gachibowli - Hyderabad,2,956,105.62,1,Yes,Sold
Porur - Chennai,2,1044,63.74,2,No,Available
Kondapur - Hyderabad,2,1054,92.06,7,Yes,Available
Anna Nagar - Chennai,2,1120,148.36,6,No,Available
Marathahalli - Bangalore,4,2518,175.94,12,Yes,Available
Tambaram - Chennai,2,1164,81.23,5,Yes,Sold
Navi Mumbai - Mumbai,3,1715,188.85,8,Yes,Sold
Hebbal - Bangalore,3,1583,156.09,5,Yes,Available
Hadapsar - Pune,2,1023,63.21,8,No,Sold
Velachery - Chennai,3,1656,144.15,2,Yes,Sold
Gurgaon - Delhi,2,1086,117.33,3,Yes,Available
Dwarka - Delhi,3,1698,155.84,4,No,Available
Whitefield - Bangalore,2,1004,103.48,4,Yes,Sold
Hinjewadi - Pune,3,1679,147.54,4,Yes,Available
Velachery - Chennai,2,979,84.64,3,Yes,Sold
Banjara Hills - Hyderabad,1,616,86.28,12,Yes,Sold
Marathahalli - Bangalore,2,1076,72.56,7,Yes,Available
Vasant Kunj - Delhi,3,1561,243.18,12,Yes,Sold
Andheri - Mumbai,4,1804,422.47,8,Yes,Available
Kondapur - Hyderabad,2,1156,85.88,6,No,Sold
Bandra - Mumbai,2,1066,507.54,4,No,Sold
Rohini - Delhi,3,1669,146.38,20,Yes,Available
Hitech City - Hyderabad,4,2166,223.28,15,Yes,Sold
Banjara Hills - Hyderabad,2,1076,160.56,1,Yes,Available
Borivali - Mumbai,2,862,130.53,7,No,Available
Miyapur - Hyderabad,2,1106,63.01,5,No,Sold
Tambaram - Chennai,3,1533,84.35,10,Yes,Sold
Kothrud - Pune,2,939,79.15,10,No,Available
Dwarka - Delhi,1,600,51.33,20,Yes,Available
Gurgaon - Delhi,2,1007,128.44,10,No,Sold
Anna Nagar - Chennai,2,1014,105.8,8,No,Available
Gachibowli - Hyderabad,3,1713,127.07,7,Yes,Available
Whitefield - Bangalore,3,1643,107.39,12,Yes,Sold
Sarjapur - Bangalore,4,2546,222.0,3,Yes,Available
Jubilee Hills - Hyderabad,2,1092,146.61,8,No,Sold
Bandra - Mumbai,2,985,502.17,6,No,Available
Miyapur - Hyderabad,3,1394,79.46,3,Yes,Available
Powai - Mumbai,2,1052,245.03,8,Yes,Available
Powai - Mumbai,4,2433,715.77,12,Yes,Available
Hadapsar - Pune,1,573,34.35,0,Yes,Sold
Noida Sector 62 - Delhi,2,1055,81.1,15,No,Available
Koramangala - Bangalore,3,1718,242.79,3,No,Available
Anna Nagar - Chennai,2,1105,130.66,0,Yes,Available
Thane - Mumbai,2,947,111.88,0,No,Available
Indiranagar - Bangalore,1,488,67.45,2,Yes,Sold
Sarjapur - Bangalore,2,1176,70.76,5,Yes,Available
Wakad - Pune,2,1063,84.99,6,No,Available
Bandra - Mumbai,2,1062,366.77,6,Yes,Available
Sarjapur - Bangalore,2,1065,67.45,6,Yes,Sold
Indiranagar - Bangalore,4,2173,393.44,0,Yes,Available
Marathahalli - Bangalore,4,2355,185.72,5,Yes,Available
Porur - Chennai,3,1754,102.29,6,No,Sold
Porur - Chennai,3,1747,122.58,0,Yes,Available
OMR - Chennai,2,1007,72.91,3,Yes,Available
Navi Mumbai - Mumbai,2,974,119.18,5,Yes,Sold
Miyapur - Hyderabad,3,1685,93.01,5,Yes,Available
Marathahalli - Bangalore,4,2291,189.44,12,Yes,Available
Hinjewadi - Pune,3,1537,96.89,4,Yes,Available
Miyapur - Hyderabad,2,1051,50.78,8,Yes,Available
Thane - Mumbai,4,2258,267.83,5,Yes,Available
Hebbal - Bangalore,4,2391,202.32,3,No,Sold
Sarjapur - Bangalore,2,1052,69.77,6,Yes,Sold
Navi Mumbai - Mumbai,3,1517,152.15,8,No,Available
Thane - Mumbai,2,1074,141.9,7,Yes,Sold
Rohini - Delhi,4,2162,197.62,8,Yes,Sold
Noida Sector 62 - Delhi,2,1079,91.05,1,No,Sold
Dwarka - Delhi,3,1535,134.0,20,No,Available
Vasant Kunj - Delhi,2,1026,178.27,12,Yes,Available
Vasant Kunj - Delhi,2,1217,259.75,1,Yes,Sold
Bandra - Mumbai,3,1545,584.56,20,Yes,Available
Kondapur - Hyderabad,1,476,35.03,1,Yes,Sold
Andheri - Mumbai,2,944,208.01,8,No,Sold
Anna Nagar - Chennai,2,1074,163.58,1,Yes,Sold
Marathahalli - Bangalore,2,1094,86.8,7,Yes,Available
Noida Sector 62 - Delhi,2,1096,104.83,5,Yes,Available
Kondapur - Hyderabad,1,530,42.01,5,Yes,Sold
Banjara Hills - Hyderabad,1,472,55.05,3,Yes,Sold
OMR - Chennai,3,1458,95.49,7,Yes,Sold
Powai - Mumbai,2,1025,233.0,10,No,Available
Vasant Kunj - Delhi,3,1557,274.4,7,Yes,Sold
Andheri - Mumbai,2,1027,248.34,5,Yes,Sold
Indiranagar - Bangalore,3,1495,209.76,4,No,Available
Hinjewadi - Pune,2,1069,65.66,15,Yes,Available
Kukatpally - Hyderabad,3,1691,105.12,7,Yes,Available
Miyapur - Hyderabad,2,1089,57.74,1,Yes,Sold
Navi Mumbai - Mumbai,3,1752,161.56,3,No,Available
Bandra - Mumbai,3,1605,802.81,2,No,Available
Andheri - Mumbai,3,1650,377.75,1,Yes,Available
Wakad - Pune,2,1153,99.0,5,Yes,Sold
Koramangala - Bangalore,3,1469,225.87,2,Yes,Sold
Kothrud - Pune,2,1022,118.21,0,Yes,Sold
Porur - Chennai,3,1751,142.78,3,Yes,Available
Marathahalli - Bangalore,3,1586,117.27,10,Yes,Available
Madhapur - Hyderabad,2,1026,89.25,0,Yes,Available
OMR - Chennai,3,1550,98.92,12,Yes,Available
Gachibowli - Hyderabad,2,899,66.68,6,Yes,Available
Sarjapur - Bangalore,4,2431,209.12,3,Yes,Sold
Kondapur - Hyderabad,3,1553,124.71,1,Yes,Available
Baner - Pune,3,1435,151.97,6,Yes,Sold
Bandra - Mumbai,2,1065,567.93,2,Yes,Available
Hinjewadi - Pune,2,1104,104.09,1,Yes,Available
Borivali - Mumbai,3,1653,264.7,8,Yes,Available
Anna Nagar - Chennai,2,1084,166.05,3,Yes,Available
Porur - Chennai,2,1040,56.14,12,Yes,Available
Hadapsar - Pune,2,1059,58.72,6,Yes,Available
Koramangala - Bangalore,2,1028,124.87,12,Yes,Available
Kukatpally - Hyderabad,2,1019,72.21,10,Yes,Available
Anna Nagar - Chennai,1,681,63.8,6,No,Sold
Gachibowli - Hyderabad,3,1694,170.44,2,Yes,Sold
Vasant Kunj - Delhi,1,548,113.78,4,Yes,Sold
Kothrud - Pune,3,1565,140.73,20,Yes,Sold
Powai - Mumbai,2,1016,178.5,12,No,Available
Madhapur - Hyderabad,3,1556,120.55,10,No,Available
Porur - Chennai,2,968,72.3,3,Yes,Available
Anna Nagar - Chennai,2,1046,122.25,2,Yes,Sold
Powai - Mumbai,2,1123,288.62,12,Yes,Sold
Koramangala - Bangalore,2,1043,157.94,3,Yes,Available
Thane - Mumbai,2,1082,135.44,0,No,Sold
Borivali - Mumbai,3,1529,242.24,3,Yes,Available
Navi Mumbai - Mumbai,3,1867,181.24,3,Yes,Available
Electronic City - Bangalore,2,1092,72.39,3,Yes,Sold
Hebbal - Bangalore,4,2181,238.95,5,No,Available
Marathahalli - Bangalore,2,983,86.13,4,No,Available
Hitech City - Hyderabad,1,525,43.95,1,Yes,Available
Sarjapur - Bangalore,1,515,36.95,1,Yes,Available
Rohini - Delhi,2,954,66.92,5,No,Available
Anna Nagar - Chennai,2,993,98.07,12,No,Available
Dwarka - Delhi,3,1469,133.0,6,No,Available
Rohini - Delhi,4,2197,170.63,6,Yes,Available
Powai - Mumbai,3,1585,511.12,1,Yes,Sold
Velachery - Chennai,3,1559,127.82,4,Yes,Sold
Borivali - Mumbai,2,1124,209.91,8,Yes,Available
Banjara Hills - Hyderabad,2,1032,140.32,12,No,Sold
Noida Sector 62 - Delhi,2,1047,70.99,6,Yes,Sold
Electronic City - Bangalore,3,1347,112.39,1,Yes,Sold
Anna Nagar - Chennai,4,2214,327.92,3,Yes,Sold
Anna Nagar - Chennai,3,1551,202.51,12,Yes,Available
Bandra - Mumbai,2,1104,561.69,4,Yes,Available
Powai - Mumbai,2,1116,223.16,20,Yes,Available
Navi Mumbai - Mumbai,2,990,119.92,3,Yes,Available
Velachery - Chennai,3,1842,161.97,10,Yes,Available
Baner - Pune,4,2423,242.39,7,No,Sold
Tambaram - Chennai,2,1188,53.0,7,Yes,Sold
Bandra - Mumbai,2,1057,440.1,6,No,Sold
Vasant Kunj - Delhi,3,1422,287.98,0,Yes,Sold
Bandra - Mumbai,1,575,207.39,3,Yes,Sold
Sarjapur - Bangalore,4,2338,200.43,3,Yes,Sold
Sarjapur - Bangalore,2,958,73.57,0,Yes,Available
Koramangala - Bangalore,3,1634,242.43,0,No,Sold
Jubilee Hills - Hyderabad,2,1049,172.84,0,Yes,Sold
Kondapur - Hyderabad,3,1747,122.8,7,No,Available
Whitefield - Bangalore,2,1135,80.9,7,Yes,Available
Miyapur - Hyderabad,3,1690,107.29,7,Yes,Available
Madhapur - Hyderabad,3,1726,125.69,2,Yes,Sold
Navi Mumbai - Mumbai,2,1128,146.05,2,Yes,Sold
Hinjewadi - Pune,2,988,69.2,12,Yes,Available
Dwarka - Delhi,3,1822,206.34,2,No,Sold
Wakad - Pune,3,1617,158.68,1,No,Sold
Electronic City - Bangalore,3,1708,93.41,12,Yes,Available
Kondapur - Hyderabad,2,1164,97.1,5,Yes,Available
Bandra - Mumbai,2,1035,456.96,20,Yes,Available
Dwarka - Delhi,4,2326,246.08,6,No,Available
Wakad - Pune,2,1114,107.52,0,Yes,Sold
Jubilee Hills - Hyderabad,2,1014,166.04,3,No,Available
Gachibowli - Hyderabad,3,1603,152.09,5,No,Sold
Noida Sector 62 - Delhi,2,1057,84.23,3,No,Sold
Marathahalli - Bangalore,2,1128,84.89,1,Yes,Available
Kothrud - Pune,2,1055,120.01,4,Yes,Sold
Hadapsar - Pune,3,1472,100.18,20,No,Available
Thane - Mumbai,2,961,107.54,15,Yes,Available
Gurgaon - Delhi,2,1119,138.02,12,No,Available
Sarjapur - Bangalore,2,1042,68.25,10,Yes,Available
Madhapur - Hyderabad,3,1666,142.46,10,Yes,Available
Powai - Mumbai,3,1461,412.14,3,Yes,Available
Koramangala - Bangalore,2,1062,147.97,8,No,Sold
Marathahalli - Bangalore,2,982,66.48,15,Yes,Available
Hebbal - Bangalore,3,1535,169.89,1,Yes,Available
Kothrud - Pune,2,1216,127.93,2,No,Available
Sarjapur - Bangalore,2,940,58.38,0,No,Sold
Whitefield - Bangalore,3,1755,168.31,4,Yes,Available
Borivali - Mumbai,3,1688,315.54,8,Yes,Sold
Andheri - Mumbai,2,969,213.15,0,Yes,Sold
Dwarka - Delhi,2,1115,100.08,10,No,Sold
HSR Layout - Bangalore,1,603,63.36,6,Yes,Sold
Banjara Hills - Hyderabad,4,2607,432.85,7,Yes,Sold
Whitefield - Bangalore,2,998,81.07,5,Yes,Sold
Baner - Pune,2,1108,85.99,6,Yes,Available
Thane - Mumbai,2,1069,134.24,2,Yes,Available
HSR Layout - Bangalore,2,912,108.0,4,No,Available
Baner - Pune,4,2663,257.57,10,Yes,Sold
Kondapur - Hyderabad,2,1049,90.79,4,Yes,Sold
Andheri - Mumbai,1,526,104.22,10,Yes,Available
Hinjewadi - Pune,1,553,29.7,12,No,Available
Baner - Pune,3,1630,130.43,5,Yes,Available
Hebbal - Bangalore,3,1697,146.24,20,Yes,Sold
Koramangala - Bangalore,2,989,110.31,5,No,Available
Porur - Chennai,2,1199,90.45,6,No,Sold
Gachibowli - Hyderabad,3,1637,146.68,5,Yes,Available
Miyapur - Hyderabad,2,1107,61.39,0,No,Available
Jubilee Hills - Hyderabad,4,2388,370.77,12,Yes,Sold
Borivali - Mumbai,2,1052,175.33,8,Yes,Available
Anna Nagar - Chennai,2,1203,120.86,6,Yes,Available
Hinjewadi - Pune,1,481,32.51,1,Yes,Available
Marathahalli - Bangalore,4,2075,160.97,0,No,Available
Hadapsar - Pune,2,988,72.09,2,No,Available
Wakad - Pune,3,1704,151.93,2,No,Sold
Marathahalli - Bangalore,3,1835,127.36,12,Yes,Sold
Bandra - Mumbai,3,1678,576.76,15,Yes,Sold
Madhapur - Hyderabad,3,1651,138.44,3,Yes,Available
Bandra - Mumbai,2,1170,449.31,2,No,Sold
Gurgaon - Delhi,4,2485,337.63,10,No,Sold
Jubilee Hills - Hyderabad,3,1737,262.6,8,Yes,Available
Kukatpally - Hyderabad,2,977,60.22,7,Yes,Sold
Wakad - Pune,3,1488,109.35,7,Yes,Sold
Navi Mumbai - Mumbai,3,1551,172.95,8,No,Available
Indiranagar - Bangalore,2,919,129.6,2,Yes,Sold
Navi Mumbai - Mumbai,2,1105,145.67,2,Yes,Sold
Hebbal - Bangalore,1,547,49.65,5,Yes,Sold
Hinjewadi - Pune,3,1618,110.01,12,No,Sold
Hebbal - Bangalore,2,1086,102.18,7,No,Available
Velachery - Chennai,3,1522,144.75,5,Yes,Available
Velachery - Chennai,3,1676,124.85,4,No,Available
Dwarka - Delhi,1,581,47.73,10,Yes,Available
Hadapsar - Pune,3,1301,91.24,7,Yes,Sold
Indiranagar - Bangalore,2,992,161.34,6,Yes,Sold
Gachibowli - Hyderabad,3,1601,132.81,2,Yes,Available
Miyapur - Hyderabad,1,522,23.81,3,No,Available
Porur - Chennai,4,2836,235.31,1,Yes,Available
Tambaram - Chennai,2,1047,63.65,15,Yes,Sold
Vasant Kunj - Delhi,4,2713,494.07,5,Yes,Sold
Kukatpally - Hyderabad,2,1103,73.79,4,Yes,Sold
Whitefield - Bangalore,3,1636,135.35,2,No,Sold
Koramangala - Bangalore,4,2706,436.82,2,Yes,Sold
Hitech City - Hyderabad,3,1355,107.18,6,Yes,Sold
Powai - Mumbai,1,511,131.34,5,No,Sold
Velachery - Chennai,3,1353,106.59,15,Yes,Sold
Gurgaon - Delhi,3,1684,185.63,1,Yes,Available
Navi Mumbai - Mumbai,2,1077,124.99,0,Yes,Available
Hadapsar - Pune,4,2370,163.88,5,Yes,Sold
Kondapur - Hyderabad,4,2383,192.9,6,Yes,Available
Navi Mumbai - Mumbai,2,944,112.74,8,No,Sold
Borivali - Mumbai,2,989,218.89,1,No,Available
Borivali - Mumbai,2,962,141.36,12,Yes,Sold
Gurgaon - Delhi,3,1606,179.58,12,Yes,Available
Tambaram - Chennai,2,913,51.44,7,No,Available
Marathahalli - Bangalore,2,1100,100.27,0,Yes,Available
Kothrud - Pune,3,1471,165.42,3,No,Sold
Thane - Mumbai,3,1559,238.64,4,Yes,Available
Madhapur - Hyderabad,3,1738,131.67,5,Yes,Available
Borivali - Mumbai,2,958,160.09,10,No,Available
Kothrud - Pune,3,1590,133.13,20,Yes,Sold
Hadapsar - Pune,3,1694,94.28,6,No,Sold
Hebbal - Bangalore,3,1585,132.66,20,No,Sold
Electronic City - Bangalore,3,1497,86.95,7,Yes,Sold
Sarjapur - Bangalore,3,1730,146.52,3,Yes,Available
Velachery - Chennai,4,2418,225.72,12,Yes,Sold
Porur - Chennai,4,2070,169.17,8,Yes,Sold
Rohini - Delhi,3,1567,109.07,12,Yes,Available
Porur - Chennai,2,1074,78.88,0,Yes,Sold
Koramangala - Bangalore,2,1037,133.81,7,Yes,Available
Electronic City - Bangalore,2,1125,68.5,3,No,Available
OMR - Chennai,2,1048,63.89,12,No,Sold
OMR - Chennai,2,909,70.66,4,Yes,Available
Andheri - Mumbai,4,2505,583.93,5,No,Sold
Indiranagar - Bangalore,2,911,148.59,5,Yes,Sold
HSR Layout - Bangalore,3,1518,158.98,2,No,Available
Vasant Kunj - Delhi,3,1516,304.83,4,Yes,Available
Kothrud - Pune,3,1605,150.35,7,No,Sold
Anna Nagar - Chennai,3,1626,235.38,1,No,Sold
Hebbal - Bangalore,2,1060,95.85,4,Yes,Available
Banjara Hills - Hyderabad,1,515,55.92,12,Yes,Available
Sarjapur - Bangalore,2,1056,70.74,12,Yes,Sold
Borivali - Mumbai,2,893,171.42,4,Yes,Available
Andheri - Mumbai,3,1574,375.89,2,No,Available
Banjara Hills - Hyderabad,3,1626,217.6,4,Yes,Sold
Marathahalli - Bangalore,1,503,33.25,2,Yes,Available
Baner - Pune,2,1112,107.22,5,Yes,Sold
HSR Layout - Bangalore,3,1541,177.04,8,Yes,Sold
Miyapur - Hyderabad,3,1291,81.96,3,No,Sold
Jubilee Hills - Hyderabad,3,1439,193.16,4,Yes,Sold
Marathahalli - Bangalore,1,478,38.59,4,Yes,Sold
Powai - Mumbai,2,1171,324.6,6,No,Sold
Andheri - Mumbai,4,2407,573.56,15,Yes,Available
Bandra - Mumbai,3,1506,637.98,8,Yes,Available
Gachibowli - Hyderabad,2,882,65.04,7,Yes,Sold
Dwarka - Delhi,2,1159,134.32,3,Yes,Available
Vasant Kunj - Delhi,2,1056,193.29,15,Yes,Sold
Thane - Mumbai,4,2327,313.24,4,Yes,Available
Bandra - Mumbai,4,2444,1019.7,6,Yes,Sold
Hebbal - Bangalore,2,1149,90.94,2,Yes,Sold
Velachery - Chennai,2,1044,109.27,1,Yes,Available
Hadapsar - Pune,2,956,68.48,5,Yes,Available
Gachibowli - Hyderabad,3,1523,145.56,1,Yes,Available
Navi Mumbai - Mumbai,2,1071,107.99,15,Yes,Sold
Hinjewadi - Pune,4,2540,216.31,10,Yes,Available
Jubilee Hills - Hyderabad,3,1526,246.44,6,Yes,Sold
Gurgaon - Delhi,3,1647,215.07,12,Yes,Available
Kothrud - Pune,2,1050,113.52,10,Yes,Available
Whitefield - Bangalore,2,1000,94.0,4,Yes,Available
Navi Mumbai - Mumbai,4,2034,290.48,4,Yes,Sold
Borivali - Mumbai,2,1106,184.84,2,Yes,Sold
Andheri - Mumbai,2,1028,236.1,6,Yes,Sold
Kothrud - Pune,1,588,54.34,6,Yes,Available
Kukatpally - Hyderabad,2,1138,87.2,0,No,Sold
Dwarka - Delhi,2,1008,103.33,20,No,Available
Noida Sector 62 - Delhi,3,1813,150.97,8,Yes,Available
Kukatpally - Hyderabad,1,459,25.49,0,Yes,Available
Banjara Hills - Hyderabad,3,1807,334.11,4,Yes,Sold
OMR - Chennai,3,1453,101.35,2,Yes,Available
Velachery - Chennai,4,2286,171.98,7,Yes,Available
Electronic City - Bangalore,2,1151,83.32,3,Yes,Sold
Kondapur - Hyderabad,2,1009,71.66,3,No,Available
Noida Sector 62 - Delhi,2,991,66.78,7,No,Sold
Sarjapur - Bangalore,2,1041,57.61,8,No,Sold
